Feature,R^2
Hang,0.0669242311375664
Practice,0.016418551698237138
PlayerIDP,0.008201361678976338
Temp,0.007030514188433146
Snaptime,0.005450059203973123
PLocID,0.004219778271214891
Game,0.002748358613059443
PlayerIDLS,-0.0004597016613268057
Grass,-0.0005781865066529779
Turf,-0.0005781865066529779
OP,-0.0005882728760486788
H2F,-0.0009350385745590106
SnapLocID,-0.001956490160216262
precipitation,-0.0027674774004842195
Wind,-0.03677373693746544
