"Snaptime","OP","H2F","hang","Distance","PuntID","playerIDP","PLocID","playerIDLS","SnapLocID","PDate","Returned","Return_Yards","Date","Practice","Game","precipitation","wind","grass","turf","temp"
0.79,2.21,1.42,3.81,48,243,96,3,58,3,"2024-11-02","","","2024-11-02",1,0,0,8,0,1,46.08
0.8,2.16,1.36,3.41,34,244,96,2,58,2,"2024-11-02","","","2024-11-02",1,0,0,8,0,1,46.08
0.77,2.21,1.44,2.9,33,245,96,3,58,2,"2024-11-02","","","2024-11-02",1,0,0,8,0,1,46.08
0.79,2.27,1.48,4.3,44,246,61,1,44,2,"2024-11-02","","","2024-11-02",1,0,0,8,0,1,46.08
0.78,2.28,1.5,3.3,36,247,61,2,44,2,"2024-11-02","","","2024-11-02",1,0,0,8,0,1,46.08
0.8,2.02,1.22,"","",248,61,"",58,1,"2024-11-03","","","2024-11-03",1,0,0,15,0,1,50.13
0.81,1.96,1.15,3.89,40,249,61,1,58,2,"2024-11-03","","","2024-11-03",1,0,0,15,0,1,50.13
0.79,1.93,1.14,2.23,26,250,61,3,58,2,"2024-11-03","","","2024-11-03",1,0,0,15,0,1,50.13
0.81,2.03,1.22,2.9,45,251,61,2,58,2,"2024-11-03","","","2024-11-03",1,0,0,15,0,1,50.13
0.83,2.04,1.21,"","",252,61,"",58,1,"2024-11-03","","","2024-11-03",1,0,0,15,0,1,50.13
0.83,2,1.17,2.8,33,253,61,1,58,1,"2024-11-03","","","2024-11-03",1,0,0,15,0,1,50.13
0.83,2.07,1.24,3.7,37,254,61,1,58,2,"2024-11-03","","","2024-11-03",1,0,0,15,0,1,50.13
0.81,1.99,1.18,2.95,31,255,61,1,58,1,"2024-11-03","","","2024-11-03",1,0,0,15,0,1,50.13
0.8,2.23,1.43,3.86,45,256,96,2,58,1,"2024-11-09","","","2024-11-09",1,0,0,14,0,1,46
0.78,2.13,1.35,4.13,40,257,96,3,58,1,"2024-11-09","","","2024-11-09",1,0,0,14,0,1,46
0.8,2.07,1.27,3.75,44,258,96,3,58,2,"2024-11-09","","","2024-11-09",1,0,0,14,0,1,46
0.79,2.09,1.3,3.65,43,259,61,2,44,2,"2024-11-09","","","2024-11-09",1,0,0,14,0,1,46
0.77,2.15,1.38,3.07,40,260,61,2,44,2,"2024-11-09","","","2024-11-09",1,0,0,14,0,1,46
0.79,2.33,1.54,3.71,48,261,61,3,44,2,"2024-11-09","","","2024-11-09",1,0,0,14,0,1,46
0.79,2.3,1.51,2.74,38,262,96,2,58,2,"2024-11-09","","","2024-11-09",1,0,0,14,0,1,46
0.78,2.31,1.53,3.58,32,263,96,2,58,2,"2024-11-09","","","2024-11-09",1,0,0,14,0,1,46
0.76,2.07,1.31,3.9,39,264,96,2,58,3,"2024-11-09","","","2024-11-09",1,0,0,14,0,1,46
0.72,2.2,1.48,2.64,33,265,61,2,44,1,"2024-11-09","","","2024-11-09",1,0,0,14,0,1,46
0.74,2.27,1.53,2.93,37,266,61,2,44,2,"2024-11-09","","","2024-11-09",1,0,0,14,0,1,46
0.82,1.79,0.97,3.65,40,267,61,2,58,2,"2024-11-10","","","2024-11-10",1,0,0.02,18,0,1,52.71
0.81,1.9,1.09,"","",268,61,"",58,2,"2024-11-10","","","2024-11-10",1,0,0.02,18,0,1,52.71
0.77,1.69,0.92,"","",269,61,"",58,2,"2024-11-10","","","2024-11-10",1,0,0.02,18,0,1,52.71
0.78,1.8,1.02,3.35,51,270,61,2,58,1,"2024-11-10","","","2024-11-10",1,0,0.02,18,0,1,52.71
0.82,1.92,1.1,"","",271,61,"",58,1,"2024-11-10","","","2024-11-10",1,0,0.02,18,0,1,52.71
0.8,1.81,1.01,"","",272,61,"",58,2,"2024-11-10","","","2024-11-10",1,0,0.02,18,0,1,52.71
0.78,1.8,1.02,2.86,37,273,61,3,58,1,"2024-11-10","","","2024-11-10",1,0,0.02,18,0,1,52.71
0.76,1.8,1.04,"","",274,61,"",58,1,"2024-11-10","","","2024-11-10",1,0,0.02,18,0,1,52.71
0.76,2.05,1.29,4.16,45,323,96,3,58,1,"2024-11-13","","","2024-11-13",0,10,2,15,0,1,49.5
0.81,2.37,1.56,4.13,40,324,96,2,58,3,"2024-11-13","","","2024-11-13",0,10,2,15,0,1,49.5
0.77,2.31,1.54,4.01,38,325,96,3,58,2,"2024-11-13","","","2024-11-13",0,10,2,15,0,1,49.5
0.79,2.43,1.64,3.81,29,326,96,2,58,3,"2024-11-13","","","2024-11-13",0,10,2,15,0,1,49.5
0.79,2.06,1.27,3.58,44,327,96,2,58,1,"2024-11-13","","","2024-11-13",0,10,2,15,0,1,49.5
0.76,2.19,1.43,4.01,42,328,96,3,58,1,"2024-11-13","","","2024-11-13",0,10,2,15,0,1,49.5
0.79,2.19,1.4,3.72,44,329,96,3,58,1,"2024-11-13","","","2024-11-13",0,10,2,15,0,1,49.5
0.8,2.16,1.36,3,34,330,96,3,58,1,"2024-11-13","","","2024-11-13",0,10,2,15,0,1,49.5
0.77,2.2,1.43,3.56,44,331,96,1,58,1,"2024-11-13","","","2024-11-13",0,10,2,15,0,1,49.5
