"PuntID","PlayerIDP","PLocID","PlayerIDLS","SnapLocID","PDate","Snaptime","OP","H2F","Hang","Distance","Efficiency","Height","Weight","Practice","Game","precipitation","Wind","Grass","Turf","Temp"
1,96,NA,41,1,"2024-08-02",0.71,2.04,1.33,NA,NA,0,72,190,1,0,0.66,13,1,0,74.45
2,61,NA,41,1,"2024-08-02",0.73,2.06,1.33,NA,NA,0,72,190,1,0,0.66,13,1,0,74.45
3,96,NA,41,2,"2024-08-02",0.72,2.09,1.37,NA,NA,0,72,190,1,0,0.66,13,1,0,74.45
4,61,NA,98,1,"2024-08-02",0.82,2.19,1.37,NA,NA,0,72,190,1,0,0.66,13,1,0,74.45
5,96,1,41,1,"2024-08-02",0.74,2.12,1.38,3.9,45,1,72,190,1,0,0.66,13,1,0,74.45
6,96,3,41,1,"2024-08-02",0.73,2.13,1.4,2.81,34,1,72,190,1,0,0.66,13,1,0,74.45
7,96,1,41,3,"2024-08-02",0.77,2.19,1.42,3.43,39,1,72,190,1,0,0.66,13,1,0,74.45
8,96,1,41,1,"2024-08-02",0.69,2.06,1.37,2.78,35,1,72,190,1,0,0.66,13,1,0,74.45
9,61,3,98,2,"2024-08-02",0.79,2.17,1.38,4.23,40,1,72,190,1,0,0.66,13,1,0,74.45
10,61,1,98,3,"2024-08-02",0.82,2.2,1.38,3.51,37,1,72,190,1,0,0.66,13,1,0,74.45
11,61,1,98,2,"2024-08-02",0.82,2.15,1.33,4.07,44,1,72,190,1,0,0.66,13,1,0,74.45
12,96,NA,41,1,"2024-08-03",0.73,2.06,1.33,NA,NA,0,72,190,1,0,0.49,15,1,0,72.7
13,96,NA,41,1,"2024-08-03",0.75,2.16,1.41,NA,NA,0,72,190,1,0,0.49,15,1,0,72.7
14,96,NA,41,1,"2024-08-03",0.75,2.24,1.49,NA,NA,0,72,190,1,0,0.49,15,1,0,72.7
15,96,NA,41,1,"2024-08-03",0.72,2.05,1.33,NA,NA,0,72,190,1,0,0.49,15,1,0,72.7
16,61,NA,98,2,"2024-08-03",0.84,2.21,1.37,NA,NA,0,72,190,1,0,0.49,15,1,0,72.7
17,96,NA,41,3,"2024-08-03",0.77,2.17,1.4,NA,NA,0,72,190,1,0,0.49,15,1,0,72.7
18,96,NA,41,1,"2024-08-03",0.69,2.06,1.37,NA,NA,0,72,190,1,0,0.49,15,1,0,72.7
19,96,NA,41,2,"2024-08-03",0.72,2.06,1.34,NA,NA,0,72,190,1,0,0.49,15,1,0,72.7
20,96,NA,41,2,"2024-08-03",0.72,2.12,1.4,NA,NA,0,72,190,1,0,0.49,15,1,0,72.7
21,61,NA,98,1,"2024-08-03",0.78,2.16,1.38,NA,NA,0,72,190,1,0,0.49,15,1,0,72.7
22,61,NA,98,3,"2024-08-03",0.87,2.34,1.47,NA,NA,0,72,190,1,0,0.49,15,1,0,72.7
23,61,NA,98,3,"2024-08-03",0.79,2.25,1.46,NA,NA,0,72,190,1,0,0.49,15,1,0,72.7
24,61,NA,98,3,"2024-08-03",0.78,2.15,1.37,NA,NA,0,72,190,1,0,0.49,15,1,0,72.7
25,96,NA,41,1,"2024-08-05",0.73,2,1.27,NA,NA,0,72,190,1,0,0,15,0,1,79.13
26,96,NA,41,2,"2024-08-05",0.69,1.99,1.3,NA,NA,0,72,190,1,0,0,15,0,1,79.13
27,96,NA,41,1,"2024-08-05",0.69,1.98,1.29,NA,NA,0,72,190,1,0,0,15,0,1,79.13
28,96,NA,41,1,"2024-08-05",0.74,2.03,1.29,NA,NA,0,72,190,1,0,0,15,0,1,79.13
29,61,NA,98,2,"2024-08-05",0.84,2.13,1.29,NA,NA,0,72,190,1,0,0,15,0,1,79.13
30,61,NA,98,2,"2024-08-05",0.78,2.1,1.32,NA,NA,0,72,190,1,0,0,15,0,1,79.13
31,61,NA,98,2,"2024-08-05",0.82,2.22,1.4,NA,NA,0,72,190,1,0,0,15,0,1,79.13
32,96,3,41,1,"2024-08-09",0.71,1.92,1.21,3.25,37,1,72,190,1,0,0,20,1,0,74
33,96,2,41,1,"2024-08-09",0.72,2.04,1.32,4.01,54,1,72,190,1,0,0,20,1,0,74
34,96,2,41,1,"2024-08-09",0.7,2.02,1.32,3.79,49,1,72,190,1,0,0,20,1,0,74
